8/14/2004,CCCC-Green,Vs,OWCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,OWCC won by 105 runs,,,,,,,,
,,,,,,,,,
OWCC batting statistics,,,,,,,,,
Innings start: 10:30,,Innings End: 1:33,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Kalpesh,17,caught,Niranjan,Krishna,31,,,,
Mukesh,12,caught,Krishna,Srikant,23,,,,
Ashok,0,caught,Venu,Gauri,1,,,,
Mike,8,caught,Smruti,Srikant,23,,,,
Kervyn,30,caught,Anshu,Keyur,37,,,,
Robert,53,caught,Niranjan,Gauri,53,,,,
Vicky,2,caught,Anshu,Sameer,4,,,,
Raymond,12,run out,,,36,,,,
Abhay,18,not out,,,13,,,,,,,,,
Abhijit,1,not out,,,1,,,,,,,,,
Aravind,,DNB,,,,,,,,,,,,
Totals:,41,Wides,2,Noballs,1,Byes,1,Leg byes,198,Total,8,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
37,37,42,92,95,98,156,192,,,,,,,

CCCC-Green Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Niranjan,8,0,0,40,2,,,,,,,,,
Sameer,5,0,0,25,0,,,,,,,,,
Venu,3,0,0,26,1,,,,,,,,,
Krishna,8,0,0,36,1,,,,,,,,,
Anshu,8,0,0,43,2,,1,,,,,,,
Smriti,8,0,2,26,1,,,,,,,,,

CCCC-Green batting statistics,,,,,,,,,,,,,,
Innings start: 2:07,,Innings End: 4:28,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Gauri,9,Caught,Kervyn,Robert,23,,,,,,,,,
Sameer,9,LBW,Kervyn,,6,,,,,,,,,
Keyur,19,Caught,Raymond,Ashok,45,,,,,,,,,
Krishna,7,LBW,Kalpesh,,17,,,,,,,,,
Anshu,0,Bowled,Kalpesh,,8,,,,,,,,,
Alistair,0,Bowled,Kalpesh,,16,,,,,,,,,
Srikant,1,Bowled,Raymond,,8,,,,,,,,,
Prabodh,3,Bowled,Ashok,,22,,,,,,,,,
Niranjan,9,run out,,Ashok/Kalpesh,16,,,,,,,,,
Smruti,0,Bowled,Ashok,,1,,,,,,,,,
Venu,0,not out,,,1,,,,,,,,,
Totals:,35,Wides,1,Noballs,0,Byes,0,Leg byes,93,Total,10,Wickets,30,Overs

Fall of wickets,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
15,25,28,55,58,63,74,74,88,93

OWCC Bowling statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Mike,6,0,1,23,0,,1,,
Kervyn,6,0,0,19,2,,,,
Ashok,6,0,0,32,2,,,,
Raymond,4,0,1,7,2,,,,
Kalpesh,7,0,3,9,3,,,,
Aravind,1,0,0,3,0,,,,
