5/2/04,CCCC-Gold,Vs,RMCC,40,Overs,,,,
Ground,Cottonwood Park,,,,,,,,
Toss,RMCC,,,,,,,,
Result,Gold won by 114 runs,,,,,,,,

CCCC-Gold batting statistics,,,,,,,,,
Innings start:,10:10,Innings End:,1:21,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Jani,16,caught,Charles,Ian (WK),28,0,1,10:10,10:46
Raghu B,13,lbw,Charles,,30,1,,10:10,10:56
Mosur,2,run out, ,Charles/Ian,11,,,10:46,11:02
Pradeep,112*,not out, , ,97,11,,10:56,
Arvind Gupta,28,Bowled,Neil, ,47,1,1,11:02,12:10
Vinod K,3,run out, ,Matt,5,,,12:10,12:41
Solanki,12,run out, ,Matt,13,2,,12:41,1:03
Vinay P,13*,not out,,,9,2,,1:04,1:21

Totals:,18,Wides,3,Noballs,0,Byes,2,Leg byes,222,Total,6,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
40,44,44,110,139,192,,,,,,,,,

RMCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Neil,6,0,1,25,1,8,0,,,,,,,
Mahesh,7,0,0,42,0,7,2,,,,,,,
Charles,8,0,0,52,2,2,0,,,,,,,
Mujtaba,8,0,0,27,0,0,0,,,,,,,
Puneet,3,0,0,18,0,4,0,,,,,,,
Matt,8,0,0,57,0,0,0,,,,,,,
 , , , , , , , ,,,,,,,

RMCC batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,4:40,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Ian,18,caught,Sagar,Vinay,30,,,,,,,,,
Jonathan,2,bowled,Rohit M,, ,,,,,,,,,
Puneet,1,caught,Rohit M,Rohit M, ,,,,,,,,,
Gareth,2,bowled,Raghu G,,11,,, , ,,,,,
Mahesh,7,caught,Sagar,Sagar,17,,,3:10,3:38,,,,,
Matt,5,caught,Sagar,Solanki,14,,,3:35,4:15,,,,,
Charles,15,caught,Sagar,Solanki,13,1,,3:40,4:00,,,,,
Neil,1,caught,Sagar,Sagar,5,,,4:00,4:05,,,,,
Cuddy,11,lbw,Vinod,,14,1,1,4:05,4:30,,,,,
Mujtaba,9,lbw,Jani,,10,,1,4:15,4:40,,,,,
Amar,0*,not out,,,4,,,4:30,,,,,,

Totals:,30,Wides,7,Noballs,0,Byes,0,Leg byes,108,Total,10,Wickets,28.4,Overs
Fall of wickets,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
20,26,43,54,54,78,81,88,99,108,,,,

CCCC-Gold Bowling statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Rohit M,8,0,0,37,2,13,3,,
Raghu G,8,0,0,36,1,11,0,,
Jani,4,4,0,16,1,2,0,,
Sagar,5,0,0,25,5,6,4,,
Vinod,2,0,0,8,1,1,0,,
Solanki,1,0,0,9,0,0,0,,
