07/18/2004,"CSUCC","Vs","Green",40,"Overs",,,,,,,,,
"Ground","Louisville Rec Center",,,,,,,,,,,,,
"Toss","CSUCC",,,,,,,,,,,,,
"Result","Green won by 3 wickets",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"CSUCC batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Aravind",2,"bowled","Sameer",,7,,,,,,,,,
"Vaibhav",23,"caught","Rajesh","Gauri",42,,,,,,,,,
"Jay",0,"caught","Niranjan","Rajesh",8,,,,,,,,,
"Kishor",13,"caught","Ram","Rajesh",35,,,,,,,,,
"Atul",0,"bowled","Rajesh",,3,,,,,,,,,
"Priyank",0,"LBW","Ram",,1,,,,,,,,,
"Ninad",4,"bowled","Rajesh",,6,,,,,,,,,
"Saravana",9,"bowled","Sameer",,49,,,,,,,,,
"Sarvanan",11,"bowled","Rajesh",,22,,,,,,,,,
"Sameer",0,"bowled","Rajesh",,1,,,,,,,,,
"Satish",0,"not out",,,1,,,,,,,,,
"Totals:",40,"Wides",2,"Noballs",0,"Byes",1,"Leg byes",110,"Total",10,"Wickets",34,"Overs"
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
14,16,54,55,56,56,65,84,86,110,,,,,
,,,,,,,,,,,,,,
"Green Bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Sameer",7,0,1,19,2,,,,,,,,,
"Niranjan",5,0,0,17,1,,,,,,,,,
"Ram",5,0,0,20,2,,,,,,,,,
"Venu",1,0,0,10,0,,,,,,,,,
"Rajesh",8,0,1,16,5,,,,,,,,,
"Smruti",3,0,0,8,0,,,,,,,,,
"Raghavendra",2,0,1,4,0,,,,,,,,,
"Prabodh",3,0,0,13,0,,,,,,,,,
,,,,,,,,,,,,,,
"Green batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Sameer",5,"caught","Kishor","Aravind",9,,,,,,,,,
"Anand",0,"caught","Kishor","Aravind",2,,,,,,,,,
"Rajesh",29,"caught","Aravind","Kishor",49,,,,,,,,,
"Krishna",36,"caught","Kishor","Aravind",65,,,,,,,,,
"Gauri",2,"caught","Aravind","Vaibhav",17,,,,,,,,,
"Prabodh",3,"caught","Aravind","Vaibhav",17,,,,,,,,,
"Niranjan",8,"bowled","Kishor",,15,,,,,,,,,
"Smruti",6,"not out",,,10,,,,,,,,,
"Venu",10,"not out",,,6,,,,,,,,,
"Totals:",7,"Wides",1,"Noballs",0,"Byes",3,"Leg byes",111,"Total",7,"Wickets",33,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,
2,5,65,81,83,93,95,,,,,,,,
,,,,,,,,,,,,,,
"CSUCC bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Vaibhav",8,0,2,19,0,,,,,,,,,
"Kishor",8,0,0,37,4,,,,,,,,,
"Aravind",8,0,2,11,3,,,,,,,,,
"Sarvanan",2,0,0,14,0,,,,,,,,,
"Jay",6,0,0,26,0,,,,,,,,,
"Ninad",1,0,0,4,0,,,,,,,,,
