7/10/2004,FCCC,Vs,CSUCC,40,Overs,,,,
Ground,CSU,,,,,,,,
Toss,CSU,,,,,,,,
Result,FCCC won by 2 wickets,,,,,,,,

CSUCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,1,caught,Khaleel,Mike R,,,,,
Vaibhav,22,Bowled,Rajesh,,,,,,
Priyank,5,caught,Nadeem,Nirmal,,,,,
Kishore,38,caught,Pavan,Ravi,,,,,
Ajay,13,Bowled,Nadeem,,,,,,
Vaibhav,3,caught,Mike R,Anant,,,,,
Atul,3,LBW,Pavan,,,,,,
Ninaad,3,caught,Mike R,Anant,,,,,
Jay,8,Not Out,,,,,,,,,,,,
Saravana,7,caught,Rajesh,Nadeem,,,,,,,,,,
Satish,2,Not Out,,,,,,,,,,,,
Totals:,10,Wides,3,Noballs,1,Byes,0,Leg byes,119,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
,,,,,,,,,,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,8,0,9,24,2,2,3,,,,,,,
Khaleel,8,0,1,18,1,1,0,,,,,,,
Mike R,8,0,3,27,2,1,0,,,,,,,
Rajesh,7,0,0,14,2,2,0,,,,,,,
Pavan,7,0,1,19,2,2,0,,,,,,,
Mike K,2,0,0,14,0,2,0,,,,,,,

FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Ravi Sajjan,2,LBW,Vaibhav,,3,,,,,,,,,
Nadeem,15,caught,Kishore,Ninaad,10,,1,,,,,,,
Anant,1,Bowled,Kishore,,2,,,,,,,,,
Rajesh,5,caught,Aravind,Saravanan,24,,,,,,,,,
Gopal,14,caught,Vaibhav,Ninaad,52,,,,,,,,,
Mike R,11,LBW,Vaibhav,,33,1,,,,,,,,
Pavan,32,LBW,Vaibhav,,29,1,1,,,,,,,
Ganesh,21,not out,,,28,1,1,,,,,,,
Nirmal,3,LBW,Aravind,,4,,,,,,,,,
Mike K,0,not out,,,2,,,,,,,,,
Totals:,8,Wides,2,Noballs,3,Byes,2,Leg byes,120,Total,8,Wickets,34,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
,,,,,,,,,,

CSUCC Bowling Statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Kishore,8,0,0,22,2,1,1
Vaibhav,8,0,1,38,3,3,0
Aravind,6,0,1,19,2,1,0
Ninaad,3,0,0,11,0,2,0
Jay,3,0,0,9,0,0,0
Vaibhav,6,0,0,19,0,1,0
