07/31/2004,"CCCC-Green","Vs","DSCC",40,"Overs",,,,,,,,,
"Ground","Louisville Rec Center",,,,,,,,,,,,,
"Toss","Green",,,,,,,,,,,,,
"Result","Green won by 16 runs",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Green batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Gauri",1,"caught","Rahul","Pratish",18,,,,,,,,,
"Sameer",14,"lbw","Suresh",,25,,,,,,,,,
"Rajesh",80,"bowled","Rahul",,93,,,,,,,,,
"Krishna",16,"caught","Rahul","Vamshi",20,,,,,,,,,
"Anshu",1,"lbw","Vamshi",,11,,,,,,,,,
"Anand",0,"bowled","Vamshi",,2,,,,,,,,,
"Shashank",11,"caught","MaxAli","Imran",23,,,,,,,,,
"Venu",8,"caught","Shoeb","Suresh",10,,,,,,,,,
"Niranjan",5,"caught","Rahul","Roby",9,,,,,,,,,
"Smruti",13,"not out",,,7,,,,,,,,,
"Ram",0,"bowled","Rahul",,2,,,,,,,,,
"Totals:",36,"Wides",0,"Noballs",0,"Byes",0,"Leg byes",185,"Total",10,"Wickets",37.3,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
15,24,66,74,74,124,153,165,167,185,,,,,
,,,,,,,,,,,,,,
"DSCC Bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Suresh",7,0,2,26,1,3,0,,,,,,,
"Rahul",6,3,1,30,5,12,0,,,,,,,
"Vamshi",8,0,1,31,2,10,0,,,,,,,
"Pratish",2,0,0,14,0,0,0,,,,,,,
"MaxAli",8,0,0,29,1,2,0,,,,,,,
"Sridhar",2,0,0,16,0,1,0,,,,,,,
"Imran",2,0,0,13,0,3,0,,,,,,,
"Shoeb",2,0,0,14,1,6,0,,,,,,,
,,,,,,,,,,,,,,
"DSCC Batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Rahul",3,"caught","Niranjan","Gauri",6,,,,,,,,,
"Pratish",41,"bowled","Ram",,34,,,,,,,,,
"MaxAli",9,"caught","Ram","Venu",9,,,,,,,,,
"Imran",7,"bowled","Sameer",,34,,,,,,,,,
"Vamshi",19,"caught","Rajesh","Gauri",16,,,,,,,,,
"Srikanth",40,"caught","Ram","Krishna",39,,,,,,,,,
"Roby",1,"lbw","Krishna",,4,,,,,,,,,
"Suresh",6,"bowled","Krishna",,11,,,,,,,,,
"Balaji",0,"lbw","Krishna",,2,,,,,,,,,
"Sridhar",4,"bowled","Sameer",,18,,,,,,,,,
"Shoeb",0,"not out",,,,,,,,,,,,
"Totals:",25,"Wides",1,"Noballs",5,"Byes",8,"Leg byes",170,"Total",10,"Wickets",32.1,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
12,40,73,87,108,122,131,132,169,170,,,,,
,,,,,,,,,,,,,,
"Green bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Sameer",7,0,0,36,2,10,0,,,,,,,
"Niranjan",5,0,0,27,1,5,0,,,,,,,
"Ram",6,1,1,16,3,3,0,,,,,,,
"Shashank",2,0,0,29,0,3,0,,,,,,,
"Krishna",8,0,0,38,3,3,1,,,,,,,
"Rajesh",2,0,0,14,1,4,0,,,,,,,
"Smruti",1,0,0,6,0,0,0,,,,,,,
