8/8/03,CSU CC,Vs,CCCC Green,40,Overs,,,,
Ground,Louisville Recreation Center,,,,,,,,
Toss,CSU CC ,,,,,,,,
Result,Green Won by 5 wickets,,,,,,,,

CSU CC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,70,caught,Anshu,Venu,71,,,,
Ajay,13,caught,Rajesh,Rajesh,42,,,,
Vaibhav M,79,Bowled,Krishna,,69,,,,
Yogish,0,LBW,Sameer,,3,,,,
Saravana,16,Bowled,Sameer,,34,,,,
Ninad,6,Bowled,Sameer,,6,,,,
Saravanan,0,Run out,,,3,,,,
Jay,1,Not out,,,1,,,,
Snehal,2,Run out,,,2,,,,,,,,,

Totals:,27,Wides,1,Noballs,0,Byes,11,Leg byes,226,Total,8,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
63,121,121,212,215,217,222,226,,,,,,,

CCCC-Green Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Sameer,7,4,0,32,3,3,0,,,,,,,
Ram,8,0,0,41,0,8,0,,,,,,,
Krishna,8,0,1,35,1,8,0,,,,,,,
Rajesh,8,0,0,67,1,7,1,,,,,,,
Smruthi,6,0,0,29,0,0,0,,,,,,,
Anshu,2,0,0,9,1,0,0,,,,,,,
Keyur,0,2,0,2,0,0,0,,,,,,,

CCCC-Green batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Gauri,68,caught,Yogish,Aravind,72,,,,,,,,,
Keyur,9,Caught,Ninad,Yogish,26,,,,,,,,,
R. Joshi,10,Caught,Ninad,Saravana,7,,,,,,,,,
Krishna,1,LBW,Vaibhav M,,5,,,,,,,,,
Sameer,22,Caught,Aravind,Ajay,20,,,,,,,,,
Anshu,50,Not out,,,55,,,,,,,,,
Anand,39,Not out,,,51,,,,,,,,,

Totals:,21,Wides,2,No Balls,0,Byes,5,Leg Byes,227,Total,5,Wickets,39.2,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,


CSU CC Bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Vaibhav M,8,0,2,30,1,2,1
Yogish,8,0,0,36,1,3,0
Ninad,7,0,0,62,2,3,1
Aravind,8,0,0,44,1,4,0
Jay,8,0,0,46,0,1,0
Saravanan,0,2,0,2,0,1,0
