8/7/04,FCCC,Vs,DSCC,40,Overs,,,,
Ground,FCCC,,,,,,,,
Toss,DSCC,,,,,,,,
Result,FCCC won by 8 wickets,,,,,,,,

DSCC batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,1,caught,Dipal,Ganesh,12,,,,
Prateesh,0,caught,Dipal,Ganesh,3,,,,
Max,1,Bowled,Nadeem,,3,,,,
Rajesh,7,Bowled,Nadeem,,12,,,,
Vamshi,1,caught,Dipal,Pavan,7,,,,
Srikanth,0,Bowled,Dipal,,2,,,,
Roby,5,LBW,Dipal,,13,,,,
Ajay,0,caught,Dipal,Ganesh,3,,,,
Balaji,0,LBW,Pavan,,34,,,,,,,,,
Shoaib,3,Bowled,Pavan,,33,,,,,,,,,
Prasad,0,not out,,,2,,,,,,,,,
Totals:,9,Wides,2,Noballs,0,Byes,0,Leg byes,29,Total,10,Wickets,22,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,7,0,1,12,2,1,,,,,,,,
Dipal,8,0,4,8,6,3,,,,,,,,
Mike R,4,0,2,3,0,3,,,,,,,,
Pavan,3,0,0,6,2,2,2,,,,,,,




FCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Mandar,0,caught,Srikanth,Vamshi,5,,,,,,,,,
Mike K,6,not out,,,25,,,,,,,,,
Anant,2,caught,Vamshi,Roby,10,,,,,,,,,
Rajesh,13,not out,,,12,,,,,,,,,
Totals:,10,Wides,0,Noballs,0,Byes,1,Leg byes,33,Total,2,Wickets,8.4,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
5,16,,,,,,,,,,,,,

DSCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Srikanth,2,0,0,10,1,10,
Rahul,3,0,1,6,0,0,0
Vamshi,2,4,0,15,1,0,0
