8/21/2004,LCC,Vs,OWCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,Wash out,,,,,,,,

OWCC batting statistics,,,,,,,,,
Innings start: 12:35,,Innings End: 2:28,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Vijay,0,Bowled,Imran,,11,,,,
Kalpesh,3,caught,AJ,Dan,6,,,,
Ashok,50,caught,Mujtaba,Imran,47,1,3,,
Mukesh,25,Bowled,Mujtaba,,39,1,,,
Vicky,36,caught,Vamshi,Prakash,25,1,3,,
Kervyn,8,run out,,,9,,,,
Mike,3,Bowled,Imran,,5,,,,
Raymond,0,run out,,,1,,,,
Abhay,2,not out,,,3,,,,,,,,,
Aravind,0,not out,,,0,,,,,,,,,
Keshav,,DNB,,,,,,,,,,,,
Totals:,20,Wides,2,Noballs,1,Byes,0,Leg byes,150,Total,8,Wickets,25,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
4,9,96,103,120,140,146,147,,,,,,,

LCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Imran,5,0,0,35,2,4,,,,,,,,
AJ,5,0,0,24,1,3,,,,,,,,
Ajay,5,0,0,27,0,6,,,,,,,,
Mujtaba,5,0,0,29,2,3,1,,,,,,,
Vamshi,5,0,0,34,1,4,1,,,,,,,


LCC batting statistics,,,,,,,,,,,,,,
Innings start: 3:00,,Innings End: 4:05,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Imran,0,LBW,Mike,,2,,,,,,,,,
Prakash,26,Caught,Ashok,Mike,22,4,,,,,,,,
Aasome,14,Caught,Ashok,Raymond,26,2,,,,,,,,
Randika,8,not out,,,10,,,,,,,,,
Dharma,0,not out,,,0,,,,,,,,,
Totals:,5,Wides,0,Noballs,0,Byes,0,Leg byes,53,Total,3,Wickets,10,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,,,,,,,,,,,,
2,41,53,,,,,,,,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Mike,3,0,0,14,1,1,
Kervyn,2,0,0,12,0,0,
Ashok,3,0,0,12,2,4,
Kalpesh,2,0,0,15,0,0,
