8/21/2004,FCCC,Vs,CCCC-Gold,40,Overs,,,,
Ground,FCCC,,,,,,,,
Toss,CCCC-Gold,,,,,,,,
Result,CCCC-Gold won by 45 runs,,,,,,,,


CCCC-Gold Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Mosur,10,caught,Rajesh,Ganesh,,,,,
Pradeep,36,caught,Rajesh,Anant,,,,,
Solanki,9,caught,Nadeem,Dipal,,,,,
Jani,28,caught,Mike Riley,Anant,,,,,
Govind,21,caught,Mike Riley,Ravi,,,,,
Raghu,23,Not Out,,,,,,,
Sam,0,LBW,Mike Riley,,,,,,
Jarrar,27,Not Out,,,,,,,,,,,,
Totals:,12,Wides,2,Noballs,0,Byes,3,Leg byes,171,Total,6,Wickets,40,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
53,56,82,111,125,126,,,,,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,8,0,0,41,1,2,2,,,,,,,
Dipal,8,0,1,32,0,4,0,,,,,,,
Mike Riley,8,0,0,33,3,0,0,,,,,,,
Pavan,8,0,1,27,0,1,0,,,,,,,
Rajesh,8,0,0,33,2,5,0,,,,,,,


FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Ravi,11,caught,Owais,Sam,28,,,,,,,,,
Nadeem,23,caught,Govind,Pradeep,17,,,,,,,,,
Pavan,7,caught,Owais,Rohit,10,,,,,,,,,
Ganesh,14,Run Out,,,18,,,,,,,,,
Dipal,22,Stumped,Sam,Pradeep,65,,,,,,,,,
Gopal,15,Run Out,,,36,,,,,,,,,
Mike R,1,caught,Swadeep,Swadeep,6,,,,,,,,,
Rajesh,5,LBW,Swadeep,,8,,,,,,,,,
Anant,6,Not Out,,,17,,,,,,,,,
Mike K,1,Bowled,Swadeep,,3,,,,,,,,,
Raju,1,Bowled,Solanki,,8,,,,,,,,,
Totals:,10,Wides,2,Noballs,1,Byes,6,Leg byes,126,Total,10,Wickets,36.4,Overs

Fall of wickets,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
31,39,52,75,109,111,111,116,120,126

CCCC-Gold Bowling Statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Jarrar,4,0,0,16,0,4,0,,
Govind,6,0,1,29,1,3,0,,
Owais,6,0,1,20,2,2,0,,
Rohit,1,0,0,10,0,0,2,,
Solanki,6,4,1,15,1,0,0,,
Swadeep,8,0,3,16,3,0,0,,
Sam,5,0,0,13,1,2,0,,
