8/28/2004,FCCC,Vs,RBCC,40,Overs,,,,
Ground,FCCC,,,,,,,,
Toss,RBCC,,,,,,,,
Result,FCCC won by 10 runs,,,,,,,,


RBCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Arif,1,caught,Mike Riley,Ganesh,15,,,,
Mudassir,3,caught,Mike King,Mike Riley,23,,,,
Naim,3,Run Out,,Pavan/Ganesh,9,,,,
Hasan,5,Bowled,Mike King,,26,,,,
Aamir,7,Run Out,,Nadeem/Gopal,15,,,,
Imran,12,caught,Mike King,Anant,20,,,,
Saif,0,caught,Brendan,Nadeem,9,,,,
Sarfaraz,17,LBW,Mike Riley,,27,,,,,,,,,
Habib,2,LBW,Brendan,,2,,,,,,,,,
Mehndi,3,Bowled,Raju,,5,,,,,,,,,
Mushfiq,18,Not Out,,,22,,,,,,,,,
Totals:,28,Wides,2,Noballs,1,Byes,1,Leg byes,102,Total,10,Wickets,30.3,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mike Riley,4,3,0,9,2,3,0,,,,,,,
Pavan,4,0,0,11,0,5,0,,,,,,,
Rajesh,3,0,0,5,3,0,0,,,,,,,
Mike King,6,0,0,16,3,8,0,,,,,,,
Brendan,4,0,0,14,2,2,0,,,,,,,
Ganesh,5,0,1,15,0,0,0,,,,,,,
Raju,4,0,0,31,1,7,2,,,,,,,


FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Nadeem,53,Not Out,,,37,2,4,,,,,,,
Dipal,47,Not Out,,,40,3,2,,,,,,,
Totals:,6,Wides,,Noballs,,Byes,1,Leg byes,107,Total,0,Wickets,12.3,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,

RBCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Hasan,4,0,0,40,0,2,0
Arif,3,3,0,34,0,3,0
Aamir,3,0,0,11,0,0,0
Sarfaraz,2,0,0,21,0,1,0
