8/29/2004,OWCC,Vs,DSCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,DSCC,,,,,,,,
Result,DSCC won by 7 runs,,,,,,,,

DSCC batting statistics,,,,,,,,,
Innings start: 10:20,,Innings End: 1:23,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,3,caught,M Doig,A Natu,17,0,0,,
Prateesh,19,caught,R Mascarenhas,M Doig,31,2,0,,
Rajesh,8,LBW,R Mascarenhas,LBW,19,0,0,,
Mahesh,101,Not Out,,,92,4,5,,
Gokul,38,caught,K Dimney,Ct Jignesh,75,,,,
Max Ali,0,LBW,A Lakshmanan,,2,0,,,
Shrikant,4,Not Out,,,5,0,0,,
,,,,,,,,,
Totals:,23,Wides,3,Noballs,0,Byes,5,Leg byes,204,Total,5,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,,,,,,,,,,
10,26,43,159,170,,,,,,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
M Doig,8,0,1,31,1,,,,,,,,,
K Dimney,7,0,0,46,1,,,,,,,,,
R Mascarenhas,7,0,1,23,2,,,,,,,,,
A Lakshmanan,8,0,0,57,1,,,,,,,,,
V Hurkute,8,0,0,35,0,,,,,,,,,
A Giri,2,0,0,11,0,,,,,,,,,
,,,,,,,,,,,,,,
OWCC batting statistics,,,,,,,,,,,,,,
Innings start: 2:05,,Innings End: 5:23,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
A Giri,1,LBW,Suresh,,16,0,0,,,,,,,
A Lakshmanan,100,caught,Suresh,Rajesh,87,0,0,,,,,,,
M Doig,11,caught,Max Ali,Prateesh,40,0,0,,,,,,,
M Patel,1,caught,Max Ali,Srikant,4,0,0,,,,,,,
K Dimney,25,Stumped,Gokul,Roby,31,0,0,,,,,,,
V Hurkute,8,run out,,,18,0,0,,,,,,,
V Chugh,14,caught,Rahul,Suresh,12,0,0,,,,,,,
R Mascarenhas,21,Not out,,,30,0,0,,,,,,,
K Sharma,0,Not out,,,2,0,0,,,,,,,


Totals:,14,Wides,0,Noballs,1,Byes,1,Leg byes,197,Total,7,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,
7,55,66,82,99,100,196,,,,,,,,

DSCC Bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Suresh,8,0,0,36,2,,
Rahul,8,0,0,27,1,,
Mahesh,7,0,0,45,0,,
Prateesh,7,0,0,43,0,,
Rajesh,1,0,0,4,0,,
Max Ali,8,0,0,36,2,,
Gokul,1,0,0,4,1,,
