6/5/03,FCCC,Vs,CCCC-Green,40,Overs,,,,
Ground,Louisville Rec. Center,,,,,,,,
Toss,FCCC,,,,,,,,
Result,CCCC-Green won by 4 wickets,,,,,,,,

FCCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Chuck,0,Bowled,Sameer,,4,,,,
Nadeem,45,caught,Krishna,Gauri,45,7,,,
Mike Riley,72,caught,Rajesh,Raghavendra,82,9,,,
Mik King,8,caught,Rajesh,Shashank,33,,,,
Gopal,17,Bowled,Shashank,,23,1,,,
Nirmal,10,Run out,,,14,1,,,
Dipal,3,Bowled,Shashank,,9,,,,
Pavan,1,caught,Shashank,Krishna,8,,,,
Ganesh,5,lbw,Ram,,2,1,,,,,,,,
Anant,7,not out,,,9,1,,,,,,,,
Raju,4,Run out,,,9,,,,,,,,,
Totals:,26,Wides,0,Noballs,4,Byes,4,Leg byes,206,Total,10,Wickets,39.5,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
2,81,146,157,177,178,181,189,190,206,,,,,

CCCC-Green Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Sameer,5,0,0,17,1,3,0,,,,,,,
Niranjan,2,0,0,22,0,4,0,,,,,,,
Ram,8,0,0,43,1,8,0,,,,,,,
Raghavendra,6,0,0,36,0,4,0,,,,,,,
Shashank,8,0,0,25,3,2,0,,,,,,,
Rajesh,6,5,0,33,2,3,0,,,,,,,
Krishna,4,0,0,23,1,0,0,,,,,,,

CCCC-Green batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Gauri,27,LBW,Riley,,40,,,,,,,,,
Sameer,18,LBW,Riley,,34,,,,,,,,,
Keyur,17,caught,Gopal,Chuck,35,,,,,,,,,
Rajesh,77,bowled,Dipal,,61,,,,,,,,,
Krishna,20,caught,Pavan,Dipal,,,,,,,,,,
Anand,9,not out,,,,,,,,,,,,
Alisdair,0,lbw,Gopal,,,,,,,,,,,
Shashank,0,not out,,,2,,,,,,,,,
Totals:,37,Wides,0,Noballs,2,Byes,5,Leg byes,207,Total,6,Wickets,39,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,,
43,60,82,178,182,205,,

FCCC Bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Nadeem,8,0,1,51,0,,
Dipal,8,0,0,39,1,,
Riley,8,0,1,32,2,,
Pavan,8,0,1,27,1,,
Gopal,6,1,0,33,2,,
Anant,1,0,0,14,0,,
