7/3/04,OWCC,Vs,CSUCC,40,Overs,,
Ground,CSU,,,,,,
Toss,CSU,,,,,,
Result,OWCC won by 5 wickets,,,,,,

CSUCC batting statistics,,,,,,,
Innings start:,10:15,Innings End:,1:55,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes
Aravind,37,caught,Andy,Mike,85,1,0
Vaibhav M,6,caught,Ashok,Kervyn,26,0,0
Ajay,0,lbw,Ashok,,2,0,0
Kishor,9,lbw,Ashok,,13,2,0
Vaibhav N,14,caught,Abhijit,Abhay,48,0,0
Yogish,12,Runout,,,26,0,0
Ninad,1,caught,Abhijit,Abhay,6,0,0
Priyank,2,Runout,,,10,0,0
Jay,2,Runout,,,9,0,0,,,,,,,
Saravana,2,Notout,,,6,0,0,,,,,,,
Sarvanan,4,Notout,,,8,0,0,,,,,,,
 , , , , ,,,, , ,,,,,
Totals:,30,Wides,3,Noballs,1,Byes,0,Leg byes,123,Total,9,Wickets,40,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
27,27,42,75,89,96,109,109,113, ,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Kervyn,5,0,2,7,0,0,0,,,,,,,
Mike,7,0,0,23,0,10,0,,,,,,,
Moe,8,0,0,31,0,3,3,,,,,,,
Ashok,8,0,0,26,3,10,0,,,,,,,
Abhay,5,0,0,12,0,2,0,,,,,,,
Andy,5,0,0,17,1,2,0,,,,,,,
Abhijit,2,0,0,6,2,3,0,,,,,,,

OWCC Batting Statistics,,,,,,,,,,,,,,
Name,Runs,How Out,Bowler,Assist,Balls,Fours,Sixes,,,,,,,
Mukesh,0,Bowled,Vaibhav M ,,,,,,,,,,,
Abhay,12,caught,Kishor,Ajay,,,,,,,,,,
Mike Doig,7,caught,Kishor,Priyank,,,,,,,,,,
Kervyn,9,caught,Aravind,Jai,,,,,,,,,,
Vicky,15,caught,Vaibhav M ,Kishor,,,,,,,,,,
Robert,28,Not Out,,,,,,,,,,,,
Ashok,23,Not Out,,,,,,,,,,,,

Totals:,21,Wides,3,Noballs,4,Byes,2,Leg byes,124,Total,5,Wickets,24.3,Overs

Fall of wickets,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
,,,,,,,,, 

CSUCC Bowling Statistics,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,
Yogeesh,4,0,0,25,0,,,,
Vaibhav M,7,0,0,34,2,,,,
Kishor,7,0,0,35,2,,,,
Aravind,6,3,1,21,1,,,,
