27-Jun-04,DSCC,Vs,Green,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,DSCC,,,,,,,,
Result,Game cancelled due to rain,,,,,,,,

DSCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,2,caught,Sameer,Smruti,8,,,,
Prateesh,10,bowled,Ram,,20,,,,
MaxAli,13,caught,Ram,Krishna,20,,,,
Gokul,0,caught,Niranjan,Gauri,4,,,,
Vamshi,2,caught,Krishna,Rajesh,6,,,,
Srikanth,19,caught,Rajesh,Gauri,26,,,,
Roby,21,bowled,Shashank,,34,,,,
Imran,8,stumped,Smruti,Gauri,34,,,,
Suresh,50,not out,,,56,,,,,,,,,
Alagu,5,run out,,,15,,,,,,,,,
Shoeb,1,not out,,,1,,,,,,,,,
Totals:,29,Wides,2,Noballs,1,Byes,5,Leg byes,167,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
12,38,39,43,47,91,97,123,165,,,,,,

Green Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Sameer,7,0,0,29,1,,,,,,,,,
Niranjan,8,0,0,42,1,,,,,,,,,
Ram,7,0,0,30,2,,,,,,,,,
Krishna,4,0,0,19,1,,,,,,,,,
Shashank,8,0,0,21,1,,,,,,,,,
Rajesh,4,0,0,18,1,,,,,,,,,
Smruti,2,0,0,12,1,,,,,,,,,

Green batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Gauri,0,caught,Rahul,Roby,8,,,,,,,,,
Sameer,1,caught,Rahul,Roby,7,,,,,,,,,
Anand,0,caught,Suresh,Roby,5,,,,,,,,,
Rajesh,2,not out,,,6,,,,,,,,,
Krishna,3,not out,,,5,,,,,,,,,
Totals:,4,Wides,0,Noballs,0,Byes,1,Leg byes,11,Total,3,Wickets,5.1,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,,,,,,,,,,,,
2,5,5,,,,,,,,,,,,

DSCC bowling statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Suresh,3,0,1,5,1,2,0
Rahul,2,1,0,5,2,2,0
