06/06/2004,"CCCC-Green","Vs","OWCC",40,"Overs",,,,,,,,,
"Ground","Louisville Rec Center",,,,,,,,,,,,,
"Toss","OWCC",,,,,,,,,,,,,
"Result","Green won by 42 runs",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Green batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Gauri",8,"caught","Ashok","Kervyn",37,,,,,,,,,
"Sameer",33,"caught","Mike","Ashok",27,,,,,,,,,
"Keyur",31,"caught","Abhay","Giri",53,,,,,,,,,
"Rajesh",92,"not out",,,81,,,,,,,,,
"Krishna",19,"Run out",,,19,,,,,,,,,
"Shashank",2,"bowled","Ashok",,3,,,,,,,,,
"Anand",5,"lbw","Abhay",,10,,,,,,,,,
"Vineet",8,"bowled","Kervyn",,7,,,,,,,,,
"Niranjan",1,"caught","Andy","Kervyn",3,,,,,,,,,
"Venu",0,"not out",,,0,,,,,,,,,
"Totals:",34,"Wides",8,"Noballs",15,"Byes",0,"Leg byes",261,"Total",8,"Wickets",40,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
62,64,154,204,221,238,252,261,,,,,,,
,,,,,,,,,,,,,,
"OWCC Bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Moe",5,0,0,38,0,,,,,,,,,
"Kervyn",5,0,1,37,1,,,,,,,,,
"Ashok",8,0,0,50,3,,,,,,,,,
"Mike",8,0,0,25,1,,,,,,,,,
"Andy",7,0,0,44,1,,,,,,,,,
"Raymond",4,0,0,31,0,,,,,,,,,
"Abhay",3,0,0,31,2,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"OWCC Batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Moe",32,"caught","Krishna","Gauri",40,,,,,,,,,
"Aravind",1,"caught","Niranjan","Gauri",3,,,,,,,,,
"Mike",20,"lbw","Krishna",,33,,,,,,,,,
"Ashok",26,"lbw","Sameer",,28,,,,,,,,,
"Kervyn",29,"caught","Krishna","Sameer",37,,,,,,,,,
"Vicky",50,"bowled","Krishna",,35,,,,,,,,,
"Raymond",8,"bowled","Krishna",,9,,,,,,,,,
"Abhay",5,"bowled","Rajesh",,7,,,,,,,,,
"Andy",7,"not out",,,10,,,,,,,,,
"Vivek",0,"caught","Rajesh","Keyur",2,,,,,,,,,
"Raj",0,"bowled","Rajesh",,5,,,,,,,,,
"Totals:",31,"Wides",6,"Noballs",0,"Byes",3,"Leg byes",218,"Total",10,"Wickets",35.4,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
4,61,70,125,177,196,206,212,212,218,,,,,
,,,,,,,,,,,,,,
"Green bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Sameer",6,0,0,31,1,,,,,,,,,
"Niranjan",6,0,1,25,1,,,,,,,,,
"Raghavendra",2,0,0,24,0,,,,,,,,,
"Vineet",2,0,0,24,0,,,,,,,,,
"Krishna",7,0,1,29,5,,,,,,,,,
"Shashank",8,0,0,52,0,,,,,,,,,
"Rajesh",4,4,0,27,3,,,,,,,,,
