5/22/04,CSUCC,Vs,DSCC,40,Overs,,,,
Ground,Cottonwood Park,,,,,,,,
Toss,CSUCC,,,,,,,,
Result,DSCC won by 10 wickets,,,,,,,,

CSUCC batting statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,1,bowled,Suresh,,,,,,
Ninad,1,caught,Mahesh,Srikanth,,,,,
Nitin,3,bowled,Suresh,,,,,,
Prashant,0,caught,Suresh,Suresh,,,,,
Ajay,4,caught,Rahul,Pratish,,,,,
Yogish,8,caught,Rahul,Srikanth,,,,,
Sathish,1,bowled,Alagu,,,,,,
Priyank,2,caught,Ansari,Pratish,,,,,
Saravana,4,runout,,,,,,,,,,,,
Aditya,3,run out,,,,,,,,,,,,
Sarvanan,0,not out,,,,,,,,,,,,
Totals:,29,Wides,1,Noballs,3,Byes,1,Leg byes,61,Total,10,Wickets,26.2,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
2,7,8,10,29,35,37,46,60,61,,,,,

DSCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mahesh,4,0,2,4,1,2,0,,,,,,,
Suresh,7,3,2,9,4,2,0,,,,,,,
Jayaram,4,2,0,14,0,5,0,,,,,,,
Rahul,5,0,2,6,2,4,0,,,,,,,
Alagu,4,0,1,9,1,4,0,,,,,,,
Ansari,2,0,0,15,1,12,1,,,,,,,


DSCC batting statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Srikant,42,notout,,,,,,,,,,,,
Rahul,7,notout,,,,,,,,,,,,

Totals:,10,Wides,1,Noballs,21,Byes,0,Leg byes,61,Total,0,Wickets,8.1,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,


CSUCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Yogish,3,0,1,14,0,5,0
Ninad,3,0,0,14,0,2,0
Aravind,2,0,0,11,0,1,0
Aditya,1,1,0,24,0,2,1
