5/22/2004,FCCC,Vs,OWCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,FCCC won by 5 wickets,,,,,,,,

OWCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Kalpesh,6,caught,Nadeem,Gopal,28,,,,
Mukesh,2,Bowled,Nadeem,,6,,,,
Vijay,3,Run Out,,Gopal/Ganesh,16,,,,
Kervyn,0,Bowled,Nadeem,,2,,,,
Raymond,6,caught,Pavan,Nadeem,24,,,,
M.Doig,10,Bowled,Rajesh,,30,,,,
Robert,5,LBW,Pavan,,11,,,,
Ashok,30,caught,Dipal,Ravi,30,4,,,
Mo,21,caught,Pavan,Chuck,38,2,,,,,,,,
Aravind,7,Not Out,,,27,,,,,,,,,
Abhay,25,Not Out,,,19,4,,,,,,,,
Totals:,16,Wides,4,Noballs,0,Byes,5,Leg byes,140,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
4,11,14,14,31,37,41,86,106,,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,6,0,1,9,2,0,0,,,,,,,
Dipal,6,0,0,22,2,3,2,,,,,,,
Mike Riley,7,0,0,14,0,1,1,,,,,,,
Pavan,8,0,1,27,3,2,0,,,,,,,
Rajesh,6,0,0,25,1,5,1,,,,,,,
Gopal,5,0,1,20,0,2,0,,,,,,,
Raju,2,0,0,21,0,3,0,,,,,,,

FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Ravi Sajjan,3,LBW,Kervyn,,16,,,,,,,,,
Nadeem,22,caught,Ashok,M.Doig,20,1,,,,,,,,
Gopal,35,caught,Moe,M.Doig,57,2,,,,,,,,
Rajesh,0,LBW,Ashok,,2,,,,,,,,,
Pavan,42,not out,,,59,3,1,,,,,,,
Raju,1,Caught,Moe,Raymond,6,,,,,,,,,
Dipal,4,not out,,,14,0,,,,,,,,
Totals:,24,Wides,2,Noballs,3,Byes,0,Leg byes,141,Total,5,Wickets,30.1,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,,,,,,,,,,
17,43,44,108,113,,,

OWCC Bowling Statistics,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Mo,6,1,1,36,2,11,1
Kervyn,6,0,1,25,1,6,1
Ashok,8,0,1,30,2,9,0
M.Doig,4,0,0,15,0,4,0
Raymond,2,0,0,10,0,0,0
Abhay,2,0,0,11,0,0,0
Vijay,1,0,0,11,0,0,0
