09/12/2004,"DSCC","Vs","Green",40,"Overs",,,,,,,,,
"Ground","Memorial Park",,,,,,,,,,,,,
"Toss","DSCC",,,,,,,,,,,,,
"Result","DSCC won by 33 runs",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DSCC batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Roby",1,"bowled","Sameer",,7,,,,,,,,,
"Prateesh",38,"run out",,,22,,,,,,,,,
"Ramesh",0,"bowled","Sameer",,3,,,,,,,,,
"Mahesh",4,"LBW","Sameer",,3,,,,,,,,,
"Vamshi",19,"LBW","Shashank",,30,,,,,,,,,
"Gokul",88,"stumped","Shashank","Gauri",,,,,,,,,,
"Rahul",1,"caught","Smruti","?",6,,,,,,,,,
"Srikanth",57,"caught","Anshu","Krishna",,,,,,,,,,
"Max",1,"caught","Smruti","Gauri",3,,,,,,,,,
"Suresh",4,"bowled","Sameer",,7,,,,,,,,,
"Balaji",1,"not out",,,1,,,,,,,,,
"Totals:",29,"Wides",3,"Noballs",1,"Byes",1,"Leg byes",248,"Total",10,"Wickets",39.2,"Overs"
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
14,15,36,51,105,108,223,235,247,248,,,,,
,,,,,,,,,,,,,,
"Green Bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Sameer",6,2,0,37,4,,,,,,,,,
"Niranjan",4,0,0,38,0,,,,,,,,,
"Krishna",6,0,0,49,0,,,,,,,,,
"Shashank",8,0,1,30,2,,,,,,,,,
"Rajesh",5,0,0,36,0,,,,,,,,,
"Smruti",6,0,0,29,2,,,,,,,,,
"Anshu",4,0,0,27,1,,,,,,,,,
,,,,,,,,,,,,,,
"Green batting statistics",,,,,,,,,,,,,,
"Innings start:",,"Innings End:",,,,,,,,,,,,
"Name","Runs","How out","Bowler","Assist","Balls","Fours ","Sixes","Time in","Time out",,,,,
"Gauri",7,"bowled","Rahul",,9,,,,,,,,,
"Sameer",1,"LBW","Rahul",,3,,,,,,,,,
"Keyur",67,"caught","Prateesh","Suresh",88,,,,,,,,,
"Rajesh",47,"stumped","Max","Roby",41,,,,,,,,,
"Krishna",18,"caught","Vamshi","Suresh",19,,,,,,,,,
"Anshu",2,"run out",,,4,,,,,,,,,
"Shashank",2,"caught","Rahul","Mahesh",12,,,,,,,,,
"Srikanth",7,"run out",,,16,,,,,,,,,
"Smruti",18,"caught","Max","Rahul",18,,,,,,,,,
"Niranjan",0,"bowled","Mahesh",,2,,,,,,,,,
"Venu",5,"not out",,,9,,,,,,,,,
"Totals:",25,"Wides",3,"Noballs",0,"Byes",6,"Leg byes",215,"Total",10,"Wickets",39,"Overs"
,,,,,,,,,,,,,,
"Fall of wickets",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
5,18,101,124,127,137,169,192,192,215,,,,,
,,,,,,,,,,,,,,
"DSCC bowling statistics",,,,,,,,,,,,,,
"Name","Overs","Partover","Maidens","Runs","Wickets","Wides","Noballs",,,,,,,
"Suresh",6,0,1,30,0,,,,,,,,,
"Rahul",8,0,0,48,4,,,,,,,,,
"Mahesh",8,0,0,39,1,,,,,,,,,
"Max",4,0,0,26,1,,,,,,,,,
"Vamshi",7,0,0,42,1,,,,,,,,,
"Prateesh",4,0,0,25,1,,,,,,,,,
