9/18/04,FCCC,Vs,DSCC,40,Overs,,,,
Ground,FCCC,,,,,,,,
Toss,DSCC,,,,,,,,
Result,FCCC won by 8 wickets,,,,,,,,

DSCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,1,Run Out,,Rajesh/Ganesh,,,,,
Prateesh,24,Bowled,Nadeem,,,,,,
Roby,7,Run Out,,Nirmal/Ganesh,,,,,
Mahesh,14,Caught,Mike,Ganesh,,,,,
Gokul,2,LBW,Dipal,,,,,,
Rajesh,12,Caught,Ravi,Gopal,,,,,
Srikanth,0,LBW,Mike,,,,,,
Max,28,Caught,Mike,Gopal,,,,,
Suresh,12,Caught,Mike,Anant,,,,,,,,,,
Shoeb,2,Not Out,,,,,,,,,,,,
Balaji,6,Bowled,Rajesh,,,,,,,,,,,
Totals:,16,Wides,2,Noballs,2,Byes,1,Leg byes,133,Total,10,Wickets,40,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
3,33,45,54,56,57,81,120,122,133,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,8,0,1,31,1,1,2,,,,,,,
Dipal,8,0,1,27,1,1,0,,,,,,,
Rajesh,8,0,1,18,1,0,0,,,,,,,
Mike R,8,0,0,19,4,1,0,,,,,,,
Gopal,5,0,0,23,0,11,0,,,,,,,
Ravi,3,0,0,15,1,2,0,,,,,,,

FCCC Batting Statistics,,,,,,,,,,,,,,
Innings start:,,Innings End:,,,,,,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out,,,,,
Nadeem,6,Bowled,Rahul,,,,,,,,,,,
Dipal,5,Caught,Suresh,Rahul,,,,,,,,,,
Gopal,59,Not Out,,,,,,,,,,,,
Ravi,51,Not Out,,,,,,,,,,,,
Totals:,12,Wides,1,Noballs,0,Byes,0,Leg byes,134,Total,2,Wickets,26.3,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


DSCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs
Suresh,6,0,0,35,1,7,0
Rahul,6,0,0,26,1,1,
Mahesh,6,0,0,32,0,,1
Prateesh,1,0,0,8,0,3,
Max Ali,6,0,0,23,0,,
Shoeb,1,0,0,7,0,,
Gokul,0,3,0,4,0,,
